route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"1087384773","4418_248009","4418_298704","Firenze Smn","18659","1","915453262"
"1087384773","4418_248014","4418_298711","Lucca","18585","0","3928012225"
"1087384773","4418_248014","4418_298712","Pistoia","18474","0","2478297587"
"1087384773","4418_248014","4418_298713","Firenze Smn","18477","1","3865866155"
"1087384773","4418_248019","4418_298714","Pistoia","18692","0","2083068938"
"1087384773","4418_248022","4418_298747","Montecatini T.","34025","1","904440906"
"1087384773","4418_248022","4418_298748","Firenze Smn","18463","1","3837673854"
"1087384773","4418_248022","4418_298749","Pistoia","34154","0","2478297587"
"1087384773","4418_248022","4418_298750","Pistoia","34184","0","2511461242"
"1087384773","4418_248022","4418_298751","Firenze Smn","18509","1","4045474996"
"1087384773","4418_248022","4418_298752","Pistoia","34170","0","2511461242"
"1087384773","4418_248022","4418_298753","Firenze Smn","18517","1","4045474996"
"1087384773","4418_248022","4418_298754","Firenze Smn","18503","1","3408511739"
"1087384773","4418_248022","4418_298755","Montecatini T.","34131","1","221804510"
"1087384773","4418_248022","4418_298756","Pistoia","34176","0","2511461242"
"1087384773","4418_248022","4418_298757","Montecatini T.","34011","1","904440906"
"1087384773","4418_248022","4418_298758","Firenze Smn","34009","1","4045474996"
"1087384773","4418_248022","4418_298759","Pistoia","34188","0","2478297587"
"1087384773","4418_248022","4418_298760","Montecatini T.","34021","1","904440906"
"1087384773","4418_248022","4418_298761","Montecatini T.","34003","1","221804510"
"1087384773","4418_248022","4418_298762","Pisa C.Le","34000","0","510055912"
"1087384773","4418_248022","4418_298763","Pistoia","34156","0","2511461242"
"1087384773","4418_248022","4418_298764","Viareggio","34024","0","2255164815"
"1087384773","4418_248022","4418_298765","Pistoia","34164","0","2511461242"
"1087384773","4418_248022","4418_298766","Firenze Smn","18505","1","4045474996"
"1087384773","4418_248022","4418_298767","Firenze Smn","18515","1","4045474996"
"1087384773","4418_248022","4418_298768","Pistoia","34160","0","2478297587"
"1087384773","4418_248023","4418_298769","Viareggio","34048","0","2255164815"
"1087384773","4418_248023","4418_298770","Pistoia","34218","0","2478297587"
"1087384773","4418_248023","4418_298771","Montecatini T.","34037","1","904440906"
"1087384773","4418_248023","4418_298772","Viareggio","34030","0","2255164815"
"1087384773","4418_248023","4418_298773","Firenze Smn","18535","1","4045474996"
"1087384773","4418_248023","4418_298774","Montecatini T.","34035","1","218167813"
"1087384773","4418_248023","4418_298775","Lucca","34046","0","3431291242"
"1087384773","4418_248023","4418_298776","Pistoia","34204","0","2478297587"
"1087384773","4418_248023","4418_298777","Viareggio","34044","0","2255164815"
"1087384773","4418_248023","4418_298778","Montecatini T.","34033","1","904440906"
"1087384773","4418_248023","4418_298779","Pistoia","34208","0","2478297587"
"1087384773","4418_248023","4418_298780","Lucca","34038","0","3431291242"
"1087384773","4418_248023","4418_298781","Viareggio","34052","0","4116477679"
"1087384773","4418_248023","4418_298782","Pistoia","34206","0","2511461242"
